,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,Sample Measurement
2290,0.8039425,0.7937125,0.7596674999999999,0.7468250000000001,0.7182250000000001,0.284605,0.3184849999999999,222.4532498,36.2
2291,0.0498375,0.067025,0.0930675,0.1168274999999999,0.1835975,0.2571875,0.1893725,270.1517189,3.0
2292,0.0498375,0.067025,0.0930675,0.1168274999999999,0.1835975,0.2571875,0.1893725,270.1517189,0.0
2293,0.0498375,0.067025,0.0930675,0.1168274999999999,0.1835975,0.2571875,0.1893725,270.1517189,-1.0
2294,0.2159924999999999,0.238735,0.2124174999999999,0.24,0.2748425,0.0402124999999999,0.06323,266.19706976,3.0
2295,0.2159924999999999,0.238735,0.2124174999999999,0.24,0.2748425,0.0402124999999999,0.06323,266.19706976,0.0
2296,0.2159924999999999,0.238735,0.2124174999999999,0.24,0.2748425,0.0402124999999999,0.06323,266.19706976,-1.0
2297,0.9801625,0.9576675,0.8445050000000001,0.822835,0.7522150000000001,0.285375,0.1914624999999999,256.63003178,15.0
2298,0.9801625,0.9576675,0.8445050000000001,0.822835,0.7522150000000001,0.285375,0.1914624999999999,256.63003178,13.0
2299,0.9801625,0.9576675,0.8445050000000001,0.822835,0.7522150000000001,0.285375,0.1914624999999999,256.63003178,16.0
2300,0.44438,0.4429225,0.4365699999999999,0.4434725,0.4769675,0.1981175,0.2005925,244.99167368,15.0
2301,0.44438,0.4429225,0.4365699999999999,0.4434725,0.4769675,0.1981175,0.2005925,244.99167368,13.0
2302,0.44438,0.4429225,0.4365699999999999,0.4434725,0.4769675,0.1981175,0.2005925,244.99167368,16.0
2303,1.0331825,1.01891,0.9433675,0.9271975,0.8593000000000002,0.4385225,0.3037175,257.16666092,15.0
2304,1.0331825,1.01891,0.9433675,0.9271975,0.8593000000000002,0.4385225,0.3037175,257.16666092,13.0
2305,1.0331825,1.01891,0.9433675,0.9271975,0.8593000000000002,0.4385225,0.3037175,257.16666092,16.0
2306,0.6999375000000001,0.69936,0.6562950000000001,0.6494475,0.6415550000000001,0.2498449999999999,0.25859,237.81383168,15.0
2307,0.6999375000000001,0.69936,0.6562950000000001,0.6494475,0.6415550000000001,0.2498449999999999,0.25859,237.81383168,13.0
2308,0.6999375000000001,0.69936,0.6562950000000001,0.6494475,0.6415550000000001,0.2498449999999999,0.25859,237.81383168,16.0
2309,0.4405575,0.4389075,0.4290624999999999,0.4333525,0.4213349999999999,0.1184224999999999,0.11856,256.65737594,15.0
2310,0.4405575,0.4389075,0.4290624999999999,0.4333525,0.4213349999999999,0.1184224999999999,0.11856,256.65737594,24.0
2311,0.4405575,0.4389075,0.4290624999999999,0.4333525,0.4213349999999999,0.1184224999999999,0.11856,256.65737594,20.0
2312,1.1306975,1.1530825,1.0682725000000002,1.072205,1.0277925,0.5366150000000001,0.5226175,225.2902064,15.0
2313,1.1306975,1.1530825,1.0682725000000002,1.072205,1.0277925,0.5366150000000001,0.5226175,225.2902064,24.0
2314,1.1306975,1.1530825,1.0682725000000002,1.072205,1.0277925,0.5366150000000001,0.5226175,225.2902064,20.0
2315,0.5817975,0.5732999999999999,0.5670299999999999,0.571045,0.5430225,0.21426,0.21294,242.2264955,8.0
2316,0.5817975,0.5732999999999999,0.5670299999999999,0.571045,0.5430225,0.21426,0.21294,242.2264955,6.0
2317,0.5817975,0.5732999999999999,0.5670299999999999,0.571045,0.5430225,0.21426,0.21294,242.2264955,13.0
2318,0.5817975,0.5732999999999999,0.5670299999999999,0.571045,0.5430225,0.21426,0.21294,242.2264955,15.0
2319,0.5817975,0.5732999999999999,0.5670299999999999,0.571045,0.5430225,0.21426,0.21294,242.2264955,24.0
2320,0.5817975,0.5732999999999999,0.5670299999999999,0.571045,0.5430225,0.21426,0.21294,242.2264955,20.0
2321,0.7288950000000001,0.7234225000000001,0.719435,0.7291425,0.6966924999999999,0.3326475,0.32547,235.00080122,8.0
2322,0.7288950000000001,0.7234225000000001,0.719435,0.7291425,0.6966924999999999,0.3326475,0.32547,235.00080122,6.0
2323,0.7288950000000001,0.7234225000000001,0.719435,0.7291425,0.6966924999999999,0.3326475,0.32547,235.00080122,13.0
2324,0.7288950000000001,0.7234225000000001,0.719435,0.7291425,0.6966924999999999,0.3326475,0.32547,235.00080122,15.0
2325,0.7288950000000001,0.7234225000000001,0.719435,0.7291425,0.6966924999999999,0.3326475,0.32547,235.00080122,24.0
2326,0.7288950000000001,0.7234225000000001,0.719435,0.7291425,0.6966924999999999,0.3326475,0.32547,235.00080122,20.0
2327,1.0082125000000002,1.0164075,0.9537075000000002,0.9489225,0.8585575000000001,0.275145,0.27586,229.67552606,5.0
2328,1.0082125000000002,1.0164075,0.9537075000000002,0.9489225,0.8585575000000001,0.275145,0.27586,229.67552606,8.0
