SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,longitude,latitude,time,ST_B10,system:index
,,,,,,,,,1.67068745776E12,,0
,,,,,,,,,1.67068745776E12,,1
,,,,,,,,,1.67068745776E12,,2
,,,,,,,,,1.67068745776E12,,3
,,,,,,,,,1.67068745776E12,,4
,,,,,,,,,1.67068745776E12,,5
,,,,,,,,,1.67068745776E12,,6
,,,,,,,,,1.67068745776E12,,7
,,,,,,,,,1.67068745776E12,,8
,,,,,,,,,1.67068745776E12,,9
,,,,,,,,,1.67068745776E12,,10
,,,,,,,,,1.67068745776E12,,11
,,,,,,,,,1.67068745776E12,,12
,,,,,,,,,1.67068745776E12,,13
,,,,,,,,,1.670687433861E12,,14
,,,,,,,,,1.670687433861E12,,15
,,,,,,,,,1.670687433861E12,,16
,,,,,,,,,1.670687433861E12,,17
,,,,,,,,,1.670687433861E12,,18
,,,,,,,,,1.670687433861E12,,19
,,,,,,,,,1.670687433861E12,,20
,,,,,,,,,1.670687433861E12,,21
,,,,,,,,,1.670687433861E12,,22
,,,,,,,,,1.670687433861E12,,23
,,,,,,,,,1.670687433861E12,,24
,,,,,,,,,1.670687433861E12,,25
,,,,,,,,,1.670687433861E12,,26
,,,,,,,,,1.670687433861E12,,27
,,,,,,,,,1.670687433861E12,,28
,,,,,,,,,1.670687433861E12,,29
,,,,,,,,,1.670687433861E12,,30
,,,,,,,,,1.670687409974E12,,31
,,,,,,,,,1.670687409974E12,,32
,,,,,,,,,1.670687409974E12,,33
,,,,,,,,,1.670687409974E12,,34
,,,,,,,,,1.670687409974E12,,35
,,,,,,,,,1.670687409974E12,,36
,,,,,,,,,1.670687409974E12,,37
,,,,,,,,,1.670687409974E12,,38
,,,,,,,,,1.670687409974E12,,39
,,,,,,,,,1.670687409974E12,,40
,,,,,,,,,1.670687409974E12,,41
,,,,,,,,,1.670687409974E12,,42
,,,,,,,,,1.670687409974E12,,43
,,,,,,,,,1.670687409974E12,,44
,,,,,,,,,1.670687386079E12,,45
,,,,,,,,,1.670687386079E12,,46
,,,,,,,,,1.670687386079E12,,47
,,,,,,,,,1.670687386079E12,,48
,,,,,,,,,1.670687386079E12,,49
,,,,,,,,,1.670687386079E12,,50
,,,,,,,,,1.670687386079E12,,51
,,,,,,,,,1.670687386079E12,,52
,,,,,,,,,1.670687386079E12,,53
,,,,,,,,,1.670687386079E12,,54
,,,,,,,,,1.670687386079E12,,55
,,,,,,,,,1.670687386079E12,,56
,,,,,,,,,1.670687386079E12,,57
,,,,,,,,,1.671292528382E12,,58
,,,,,,,,,1.671292528382E12,,59
,,,,,,,,,1.671292528382E12,,60
,,,,,,,,,1.671292528382E12,,61
,,,,,,,,,1.671292528382E12,,62
,,,,,,,,,1.671292528382E12,,63
,,,,,,,,,1.671292528382E12,,64
,,,,,,,,,1.671292528382E12,,65
,,,,,,,,,1.671292528382E12,,66
,,,,,,,,,1.671292528382E12,,67
,,,,,,,,,1.671292528382E12,,68
,,,,,,,,,1.671292528382E12,,69
,,,,,,,,,1.671292528382E12,,70
,,,,,,,,,1.671292528382E12,,71
,,,,,,,,,1.671292504491E12,,72
,,,,,,,,,1.671292504491E12,,73
,,,,,,,,,1.671292504491E12,,74
,,,,,,,,,1.671292504491E12,,75
,,,,,,,,,1.671292504491E12,,76
,,,,,,,,,1.671292504491E12,,77
,,,,,,,,,1.671292504491E12,,78
,,,,,,,,,1.671292504491E12,,79
,,,,,,,,,1.671292504491E12,,80
,,,,,,,,,1.671292504491E12,,81
,,,,,,,,,1.671292504491E12,,82
,,,,,,,,,1.671292504491E12,,83
,,,,,,,,,1.671292504491E12,,84
,,,,,,,,,1.671292504491E12,,85
,,,,,,,,,1.6712924806E12,,86
0.07436749999999998,0.08773249999999999,0.15455750000000001,0.152165,0.2410175,0.2411275,0.17342249999999998,-79.99987186914184,32.70006873064097,1.6712924806E12,271.5872873,87
0.09339750000000002,0.10516750000000002,0.14116499999999998,0.14003749999999998,0.33119000000000004,0.206835,0.15994750000000002,-79.99987186914184,32.800051221763475,1.6712924806E12,270.59947952,88
0.037105,0.05550250000000001,0.09997,0.10470000000000002,0.16096500000000002,0.14484999999999998,0.11314249999999998,-79.99987186914184,32.90003371288598,1.6712924806E12,281.84818334,89
0.06785000000000002,0.046509999999999996,0.22812,0.20254500000000003,0.3529425,0.34835,0.3021225,-79.99987186914184,33.00001620400848,1.6712924806E12,257.74088828,90
-0.16741250000000002,-0.14533000000000001,0.08938249999999998,0.04576749999999999,0.25518,0.3148275,0.288125,-79.99987186914184,33.099998695130985,1.6712924806E12,253.52646962,91
0.6352850000000001,0.6424350000000001,0.5942825,0.623515,0.7024125000000001,0.5236624999999999,0.5409875,-79.99987186914184,33.19998118625348,1.6712924806E12,251.97127052000002,92
0.7226524999999999,0.7081600000000001,0.6820900000000001,0.69001,0.6972425,0.5362024999999999,0.48593250000000004,-79.99987186914184,33.299963677375985,1.6712924806E12,248.50198022,93
0.7641225,0.7513350000000001,0.72675,0.7266125000000001,0.73489,0.56725,0.4948425,-79.99987186914184,33.39994616849849,1.6712924806E12,247.68507344,94
0.7394275000000001,0.7140175,0.6925125000000001,0.686655,0.6701550000000001,0.419135,0.31345249999999997,-79.99987186914184,33.49992865962099,1.6712924806E12,247.18604252,95
0.36683000000000004,0.36683000000000004,0.2630725,0.32046500000000006,0.43780749999999996,0.2836425,0.252595,-79.99987186914184,33.599911150743495,1.6712924806E12,256.59243356,96
-0.021442500000000003,-0.010690000000000005,0.002977499999999994,0.006415000000000004,0.04279749999999999,0.039525000000000005,0.021815,-79.99987186914184,33.699893641866,1.6712924806E12,282.99663806,97
