SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,longitude,latitude,time,ST_B10,system:index
1.2257925,1.2351425,1.1592975,1.188585,1.1018775,0.42678,0.35778250000000006,-102.399992299361,48.00008481823625,1.672508514403E12,262.65941906,0
1.0817475,1.066375,0.9692175000000001,0.9663300000000001,0.8192325,0.10227999999999998,0.12397750000000002,-102.399992299361,48.10006730935875,1.672508514403E12,263.5720304,1
0.04926,0.06446750000000001,0.091335,0.12274000000000002,0.242475,0.31361750000000005,0.2015825,-102.399992299361,48.20004980048125,1.672508514403E12,284.6270336,2
0.2333175,0.261505,0.29766750000000003,0.3551975,0.5165949999999999,0.17295500000000003,0.15266000000000002,-102.399992299361,48.300032291603756,1.669743699312E12,260.91281084,3
0.3839075,0.41126999999999997,0.4309325,0.46354750000000006,0.419575,0.08074749999999997,0.09053749999999999,-102.399992299361,48.40001478272626,1.669743699312E12,260.63595122,4
0.75084,0.78626,0.8089475000000002,0.8630950000000002,0.882125,0.32453499999999996,0.30465250000000005,-102.399992299361,48.49999727384876,1.669743699312E12,258.09978037999997,5
0.5478624999999999,0.5393924999999999,0.49605250000000006,0.5138725,0.50752,0.09664250000000002,0.11006250000000001,-102.399992299361,48.599979764971266,1.669743699312E12,260.09590406,6
0.7890925,0.8151075000000001,0.805895,0.851545,0.8769550000000002,0.3356725,0.3312175,-102.399992299361,48.69996225609377,1.669743699312E12,261.20334254,7
0.7736925000000001,0.8188200000000001,0.8230825000000002,0.8992575,1.0007050000000002,0.4904975,0.4490825,-102.399992299361,48.79994474721627,1.669743699312E12,255.3516923,8
0.366995,0.36957999999999996,0.35486750000000006,0.4067875,0.4869225,0.2229775,0.2258925,-102.399992299361,48.899927238338776,1.669743699312E12,257.02994012,9
0.643118324210962,0.6581681778501318,0.6643676026138163,0.6905071615437975,0.7475659786077705,0.37510178197080457,0.3242659602101346,-102.39999229936102,48.99990972946127,1.669743699312E12,261.6012828510533,10
,,,,,,,,,1.669743699312E12,,11
,,,,,,,,,1.669743699312E12,,12
,,,,,,,,,1.669743699312E12,,13
,,,,,,,,,1.669743699312E12,,14
,,,,,,,,,1.669743699312E12,,15
,,,,,,,,,1.669743699312E12,,16
,,,,,,,,,1.669743699312E12,,17
,,,,,,,,,1.669743699312E12,,18
,,,,,,,,,1.669743699312E12,,19
,,,,,,,,,1.672247842105E12,,20
,,,,,,,,,1.672247842105E12,,21
,,,,,,,,,1.672247842105E12,,22
,,,,,,,,,1.672247842105E12,,23
,,,,,,,,,1.672247842105E12,,24
,,,,,,,,,1.672247842105E12,,25
,,,,,,,,,1.672247842105E12,,26
,,,,,,,,,1.672247842105E12,,27
,,,,,,,,,1.672247842105E12,,28
,,,,,,,,,1.672247842105E12,,29
,,,,,,,,,1.672247842105E12,,30
,,,,,,,,,1.672247842105E12,,31
,,,,,,,,,1.672247842105E12,,32
,,,,,,,,,1.672247842105E12,,33
,,,,,,,,,1.672247842105E12,,34
,,,,,,,,,1.672247842105E12,,35
,,,,,,,,,1.672247842105E12,,36
,,,,,,,,,1.672247818214E12,,37
,,,,,,,,,1.672247818214E12,,38
,,,,,,,,,1.672247818214E12,,39
,,,,,,,,,1.672247818214E12,,40
,,,,,,,,,1.672247818214E12,,41
,,,,,,,,,1.672247818214E12,,42
,,,,,,,,,1.672247818214E12,,43
,,,,,,,,,1.672247818214E12,,44
,,,,,,,,,1.672247818214E12,,45
,,,,,,,,,1.672247818214E12,,46
,,,,,,,,,1.672247818214E12,,47
,,,,,,,,,1.672247818214E12,,48
,,,,,,,,,1.672247818214E12,,49
,,,,,,,,,1.672247818214E12,,50
,,,,,,,,,1.671470565856E12,,51
,,,,,,,,,1.671470565856E12,,52
,,,,,,,,,1.671470565856E12,,53
,,,,,,,,,1.671470565856E12,,54
,,,,,,,,,1.671470565856E12,,55
,,,,,,,,,1.671470565856E12,,56
,,,,,,,,,1.671470565856E12,,57
,,,,,,,,,1.671470565856E12,,58
,,,,,,,,,1.671470565856E12,,59
,,,,,,,,,1.671470565856E12,,60
,,,,,,,,,1.671470565856E12,,61
,,,,,,,,,1.671470541956E12,,62
,,,,,,,,,1.671470541956E12,,63
,,,,,,,,,1.671470541956E12,,64
,,,,,,,,,1.671470541956E12,,65
,,,,,,,,,1.671470541956E12,,66
,,,,,,,,,1.671470541956E12,,67
,,,,,,,,,1.671470541956E12,,68
,,,,,,,,,1.671470541956E12,,69
,,,,,,,,,1.671470541956E12,,70
,,,,,,,,,1.671470541956E12,,71
,,,,,,,,,1.671470541956E12,,72
,,,,,,,,,1.671470541956E12,,73
,,,,,,,,,1.671470541956E12,,74
,,,,,,,,,1.671470541956E12,,75
,,,,,,,,,1.671470541956E12,,76
,,,,,,,,,1.671470541956E12,,77
,,,,,,,,,1.671470518065E12,,78
0.056630000000000014,0.06444,0.08679749999999997,0.09881499999999999,0.1851375,0.22484749999999998,0.16882999999999998,-102.3000098082385,29.900019990040423,1.671470518065E12,293.65402442,79
0.06149749999999998,0.07315749999999999,0.10057500000000003,0.11600250000000001,0.2076325,0.26497,0.19960250000000002,-102.3000098082385,30.000002481162923,1.671470518065E12,290.87517416000003,80
0.034355,0.039855,0.0623225,0.06477,0.1794175,0.16946250000000002,0.11798249999999999,-102.3000098082385,30.099984972285426,1.671470518065E12,292.89522397999997,81
0.07125999999999999,0.08412999999999998,0.11889,0.13912999999999998,0.2547675,0.31622999999999996,0.2284775,-102.3000098082385,30.19996746340793,1.671470518065E12,291.36395102,82
0.0626525,0.0740925,0.10461749999999997,0.12048500000000001,0.2250125,0.2729175,0.20218750000000002,-102.3000098082385,30.299949954530433,1.671470518065E12,293.93430206,83
0.08918999999999999,0.10461749999999997,0.14595000000000002,0.177135,0.2756125,0.34989,0.2707725,-102.3000098082385,30.399932445652937,1.671470518065E12,294.54954566000004,84
0.09251749999999997,0.10987000000000002,0.15334750000000003,0.18401,0.2939,0.36957999999999996,0.29329500000000003,-102.3000098082385,30.49991493677544,1.671470518065E12,294.46409516,85
0.05500749999999999,0.06350499999999998,0.08712750000000002,0.09589999999999999,0.2003725,0.2449225,0.1793075,-102.3000098082385,30.59989742789794,1.671470518065E12,291.00505892,86
0.07502750000000002,0.09017999999999998,0.13181500000000002,0.15948,0.28895,0.31865000000000004,0.24120999999999998,-102.3000098082385,30.699879919020443,1.671470518065E12,294.6589223,87
0.09028999999999998,0.10602,0.14427250000000003,0.1778225,0.2742375,0.34766250000000004,0.29687,-102.3000098082385,30.800131904728183,1.671470518065E12,293.25411608,88
0.06818000000000002,0.08074749999999997,0.12064999999999998,0.1373975,0.268325,0.2834225,0.21879749999999998,-102.3000098082385,30.900114395850686,1.671470518065E12,291.3263528,89
0.10706500000000002,0.13074249999999998,0.1843125,0.23359249999999998,0.34488500000000005,0.38008500000000006,0.31095,-102.3000098082385,31.00009688697319,1.671470518065E12,291.28191854,90
0.07310250000000001,0.08558749999999998,0.12691999999999998,0.16423749999999998,0.278555,0.30402,0.25166,-102.3000098082385,31.10007937809569,1.671470518065E12,291.64422866,91
0.09048250000000002,0.1134175,0.16880250000000002,0.20290249999999999,0.33685499999999996,0.38696,0.290435,-102.3000098082385,31.200061869218192,1.671470494178E12,292.56367604,92
0.07461499999999999,0.08982249999999997,0.13530750000000002,0.16412749999999998,0.2393675,0.2929925,0.235545,-102.3000098082385,31.300044360340696,1.671470494178E12,291.4118033,93
0.08275500000000002,0.09785250000000001,0.1487,0.20755,0.30236999999999997,0.32775250000000006,0.2648325,-102.3000098082385,31.4000268514632,1.671470494178E12,290.68376504,94
0.09658749999999999,0.11842249999999999,0.17375249999999998,0.22429749999999998,0.37329249999999997,0.39741,0.32533249999999997,-102.3000098082385,31.500009342585702,1.671470494178E12,290.77263356000003,95
0.10541499999999998,0.126755,0.1807375,0.22327999999999998,0.364685,0.39691499999999996,0.304405,-102.3000098082385,31.599991833708206,1.671470494178E12,290.49919195999996,96
0.07277250000000002,0.09015250000000002,0.13618750000000002,0.1811775,0.289445,0.360725,0.30058250000000003,-102.3000098082385,31.699974324830706,1.671470494178E12,292.08857126,97
0.04827000000000001,0.05154249999999999,0.05819750000000001,0.06886750000000003,0.11333500000000002,0.19113249999999998,0.15299000000000001,-102.3000098082385,31.79995681595321,1.671470494178E12,291.02898505999997,98
0.062350000000000017,0.08864,0.12458249999999998,0.15796749999999998,0.24363,0.2891975,0.23439,-102.3000098082385,31.899939307075712,1.671470494178E12,291.38787716,99
0.058362499999999984,0.07213999999999998,0.10360000000000003,0.14237499999999997,0.2340875,0.32117999999999997,0.26915,-102.3000098082385,31.999921798198216,1.671470494178E12,291.9074162,100
0.07791500000000001,0.09611999999999998,0.13640750000000001,0.17988500000000002,0.2565825,0.3324,0.27047,-102.3000098082385,32.09990428932072,1.671470494178E12,289.91471054,101
0.07310250000000001,0.09471750000000001,0.13475749999999997,0.1706725,0.24701250000000002,0.3670225,0.31315,-102.3000098082385,32.19988678044322,1.671470494178E12,292.23554612,102
0.061167499999999986,0.0781075,0.11974249999999997,0.16704249999999998,0.27033250000000003,0.35027500000000006,0.299565,-102.3000098082385,32.299869271565726,1.671470494178E12,290.28727472,103
0.057674999999999976,0.07335000000000003,0.11132750000000002,0.1587925,0.25386000000000003,0.3423825,0.2921675,-102.3000098082385,32.40012125727346,1.671470494178E12,291.25799240000003,104
0.055255,0.06867499999999999,0.10181249999999997,0.1457025,0.22801,0.32810999999999996,0.27432,-102.3000098082385,32.500103748395965,1.671470494178E12,289.44985982000003,105
0.03768250000000001,0.05187249999999999,0.08151750000000002,0.115205,0.17862,0.29753,0.24880000000000002,-102.3000098082385,32.60008623951847,1.671470494178E12,291.94501442,106
0.0476375,0.06955499999999998,0.12494,0.176805,0.31661500000000004,0.35544499999999996,0.28411000000000003,-102.3000098082385,32.70006873064097,1.671470494178E12,290.73503533999997,107
0.060287499999999994,0.06705250000000001,0.08721000000000001,0.11132750000000002,0.1977875,0.30616499999999996,0.24703999999999998,-102.3000098082385,32.800051221763475,1.671470494178E12,291.23748428,108
0.04227500000000001,0.051734999999999975,0.07379000000000002,0.09801749999999998,0.1579125,0.2695075,0.2129125,-102.3000098082385,32.90003371288598,1.672075639832E12,290.2154963,109
0.024455000000000005,0.05310999999999999,0.11031000000000002,0.1500475,0.2386525,0.32536000000000004,0.25386000000000003,-102.3000098082385,33.00001620400848,1.672075639832E12,279.39404498,110
0.02849750000000001,0.04945250000000001,0.09381,0.13285999999999998,0.22053,0.28818,0.241045,-102.3000098082385,33.099998695130985,1.672075639832E12,279.66406856000003,111
0.029624999999999985,0.0464,0.08385500000000001,0.11402250000000003,0.21024500000000002,0.26519,0.212665,-102.3000098082385,33.19998118625348,1.672075639832E12,281.25344786,112
0.06468750000000001,0.09642250000000002,0.1806275,0.25716,0.36672,0.40981249999999997,0.358855,-102.3000098082385,33.299963677375985,1.672075639832E12,275.49066614000003,113
0.03781999999999999,0.06144250000000001,0.10998000000000002,0.14911249999999998,0.23964249999999998,0.32744999999999996,0.2833675,-102.3000098082385,33.39994616849849,1.672075639832E12,272.95791332,114
0.021925,0.03908500000000001,0.0748625,0.0957075,0.16003,0.2136825,0.1749075,-102.3000098082385,33.49992865962099,1.672075639832E12,277.64743676,115
0.03683,0.05635499999999999,0.09900750000000003,0.1404225,0.2054875,0.2712675,0.24176000000000003,-102.3000098082385,33.599911150743495,1.672075639832E12,278.4575075,116
0.030147499999999994,0.05398999999999998,0.09405750000000002,0.13453749999999998,0.22955000000000003,0.26376,0.2128025,-102.3000098082385,33.699893641866,1.672075639832E12,283.34869412,117
0.06468750000000001,0.09086749999999999,0.14903,0.22504000000000002,0.3448575,0.4044775,0.31931000000000004,-102.3000098082385,33.7998761329885,1.672075639832E12,286.3531337,118
