SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,longitude,latitude,time,ST_B10,system:index
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,2
,,,,,,,,,,,3
,,,,,,,,,,,4
,,,,,,,,,,,5
,,,,,,,,,,,6
,,,,,,,,,,,7
,,,,,,,,,,,8
,,,,,,,,,,,9
,,,,,,,,,,,10
,,,,,,,,,,,11
,,,,,,,,,1.671648411853E12,,12
,,,,,,,,,1.671648411853E12,,13
,,,,,,,,,1.671648411853E12,,14
,,,,,,,,,1.671648411853E12,,15
,,,,,,,,,1.671648411853E12,,16
,,,,,,,,,1.671648411853E12,,17
,,,,,,,,,1.671648411853E12,,18
,,,,,,,,,1.671648411853E12,,19
,,,,,,,,,1.671648411853E12,,20
,,,,,,,,,1.671648411853E12,,21
,,,,,,,,,1.671648411853E12,,22
,,,,,,,,,1.671648411853E12,,23
,,,,,,,,,1.671648411853E12,,24
,,,,,,,,,1.67225356018E12,,25
,,,,,,,,,1.67225356018E12,,26
,,,,,,,,,1.67225356018E12,,27
,,,,,,,,,1.67225356018E12,,28
,,,,,,,,,1.67225356018E12,,29
,,,,,,,,,1.67225356018E12,,30
,,,,,,,,,1.67225356018E12,,31
,,,,,,,,,1.67225356018E12,,32
,,,,,,,,,1.67225356018E12,,33
,,,,,,,,,1.67225356018E12,,34
,,,,,,,,,1.67225356018E12,,35
,,,,,,,,,1.67225356018E12,,36
,,,,,,,,,1.67225356018E12,,37
,,,,,,,,,1.67225356018E12,,38
,,,,,,,,,1.67225356018E12,,39
,,,,,,,,,1.67225356018E12,,40
,,,,,,,,,1.67225356018E12,,41
,,,,,,,,,1.67225356018E12,,42
,,,,,,,,,1.67225356018E12,,43
,,,,,,,,,1.67225356018E12,,44
,,,,,,,,,1.672253536285E12,,45
,,,,,,,,,1.672253536285E12,,46
,,,,,,,,,1.672253536285E12,,47
0.007569999999999993,0.023162500000000003,0.059545000000000015,0.04997499999999999,0.30215,0.09422249999999999,0.05575000000000002,-123.50007085040238,38.800078667454585,1.672253536285E12,275.42230574,48
0.0071299999999999975,0.015655000000000002,0.036032499999999995,0.029707499999999998,0.185,0.05781249999999999,0.03831499999999999,-123.50007085040238,38.90006115857708,1.672253536285E12,275.54877248,49
0.03375,0.043045,0.06917000000000001,0.07158999999999999,0.2467375,0.18797000000000003,0.109705,-123.50007085040238,39.000043649699585,1.672253536285E12,279.6879947,50
0.37200000000000005,0.41677000000000003,0.436405,0.46624250000000006,0.5919449999999999,0.39625499999999997,0.30371750000000003,-123.50007085040238,39.10002614082209,1.672253536285E12,277.28170862,51
0.011364999999999986,0.016149999999999998,0.0385625,0.025967500000000004,0.1615975,0.05899500000000002,0.045795,-123.50007085040238,39.20000863194459,1.672253536285E12,276.72115334,52
