SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,longitude,latitude,time,ST_B10,system:index
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,2
,,,,,,,,,,,3
,,,,,,,,,,,4
,,,,,,,,,,,5
,,,,,,,,,,,6
,,,,,,,,,,,7
,,,,,,,,,,,8
,,,,,,,,,,,9
,,,,,,,,,,,10
,,,,,,,,,,,11
,,,,,,,,,,,12
,,,,,,,,,,,13
,,,,,,,,,,,14
,,,,,,,,,,,15
,,,,,,,,,,,16
,,,,,,,,,1.671464513285E12,,17
,,,,,,,,,1.671464513285E12,,18
,,,,,,,,,1.671464513285E12,,19
,,,,,,,,,1.671464513285E12,,20
,,,,,,,,,1.671464513285E12,,21
,,,,,,,,,1.671464513285E12,,22
,,,,,,,,,1.671464513285E12,,23
,,,,,,,,,1.671464513285E12,,24
,,,,,,,,,1.671464513285E12,,25
,,,,,,,,,1.671464513285E12,,26
,,,,,,,,,1.671464513285E12,,27
,,,,,,,,,1.671464513285E12,,28
,,,,,,,,,1.671464513285E12,,29
,,,,,,,,,1.671464513285E12,,30
,,,,,,,,,1.671464513285E12,,31
,,,,,,,,,1.671464513285E12,,32
,,,,,,,,,1.671464513285E12,,33
,,,,,,,,,1.67146448939E12,,34
,,,,,,,,,1.67146448939E12,,35
0.021952499999999986,0.022007499999999985,0.038479999999999986,0.026902499999999996,0.22141,0.09628500000000001,0.043182499999999985,-75.80006825282626,35.60009996236402,1.67146448939E12,278.55663008,36
0.012052499999999994,0.012685000000000002,0.027177499999999993,0.018707499999999988,0.26046,0.08800750000000002,0.03226499999999999,-75.80006825282626,35.70008245348652,1.67146448939E12,278.9018501,37
0.012245000000000006,0.014499999999999985,0.034107499999999985,0.023052500000000004,0.20545999999999998,0.09856749999999997,0.04593249999999999,-75.80006825282626,35.800064944609026,1.67146448939E12,278.0131649,38
0.014279999999999987,0.015105000000000007,0.03825999999999999,0.023822499999999996,0.2294675,0.091995,0.04054250000000001,-75.80006825282626,35.90004743573153,1.67146448939E12,278.39256512,39
,,,,,,,,,1.67146448939E12,,40
,,,,,,,,,1.67146448939E12,,41
,,,,,,,,,1.67146448939E12,,42
,,,,,,,,,1.67146448939E12,,43
,,,,,,,,,1.67146448939E12,,44
,,,,,,,,,1.67146448939E12,,45
,,,,,,,,,1.67146448939E12,,46
,,,,,,,,,1.67146448939E12,,47
,,,,,,,,,1.67146448939E12,,48
,,,,,,,,,1.67146448939E12,,49
,,,,,,,,,1.671464465503E12,,50
,,,,,,,,,1.671464465503E12,,51
,,,,,,,,,1.671464465503E12,,52
,,,,,,,,,1.671464465503E12,,53
0.03628000000000001,0.043265,0.05228499999999997,0.050112500000000004,0.067355,0.07131500000000002,0.048545000000000005,-75.80006825282626,37.400054297154306,1.671464465503E12,277.97214866,54
