SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,longitude,latitude,time,ST_B10,system:index
,,,,,,,,,1.665762668534E12,,0
,,,,,,,,,1.665762668534E12,,1
,,,,,,,,,1.665762668534E12,,2
,,,,,,,,,1.669909872291E12,,3
,,,,,,,,,1.669909872291E12,,4
,,,,,,,,,1.669909872291E12,,5
,,,,,,,,,1.669909872291E12,,6
,,,,,,,,,1.669909872291E12,,7
,,,,,,,,,1.669909872291E12,,8
,,,,,,,,,1.667145053121E12,,9
,,,,,,,,,1.667145053121E12,,10
,,,,,,,,,1.667145053121E12,,11
,,,,,,,,,1.667145053121E12,,12
,,,,,,,,,1.667145053121E12,,13
,,,,,,,,,1.667145053121E12,,14
,,,,,,,,,1.667145053121E12,,15
,,,,,,,,,1.667145053121E12,,16
,,,,,,,,,1.667145053121E12,,17
,,,,,,,,,1.667145053121E12,,18
,,,,,,,,,1.667145053121E12,,19
,,,,,,,,,1.667145053121E12,,20
,,,,,,,,,1.667145053121E12,,21
,,,,,,,,,1.667145053121E12,,22
,,,,,,,,,1.667145029234E12,,23
,,,,,,,,,1.667145029234E12,,24
,,,,,,,,,1.667145029234E12,,25
,,,,,,,,,1.667145029234E12,,26
,,,,,,,,,1.667145029234E12,,27
,,,,,,,,,1.667145029234E12,,28
,,,,,,,,,1.667145029234E12,,29
,,,,,,,,,1.667145029234E12,,30
,,,,,,,,,1.667145029234E12,,31
,,,,,,,,,1.667145029234E12,,32
,,,,,,,,,1.667145029234E12,,33
,,,,,,,,,1.667145029234E12,,34
,,,,,,,,,1.667145029234E12,,35
,,,,,,,,,1.667145029234E12,,36
,,,,,,,,,1.667145029234E12,,37
,,,,,,,,,1.667145029234E12,,38
,,,,,,,,,1.666367772778E12,,39
,,,,,,,,,1.672413967625E12,,40
,,,,,,,,,1.672413967625E12,,41
,,,,,,,,,1.672413967625E12,,42
,,,,,,,,,1.672413967625E12,,43
,,,,,,,,,1.672413967625E12,,44
,,,,,,,,,1.672413967625E12,,45
,,,,,,,,,1.672413967625E12,,46
,,,,,,,,,1.672413967625E12,,47
,,,,,,,,,1.672413967625E12,,48
,,,,,,,,,1.672413967625E12,,49
,,,,,,,,,1.672413967625E12,,50
,,,,,,,,,1.672413967625E12,,51
,,,,,,,,,1.672413967625E12,,52
,,,,,,,,,1.672413967625E12,,53
,,,,,,,,,1.672413967625E12,,54
,,,,,,,,,1.672413967625E12,,55
,,,,,,,,,,,56
,,,,,,,,,,,57
,,,,,,,,,,,58
,,,,,,,,,,,59
,,,,,,,,,,,60
,,,,,,,,,,,61
,,,,,,,,,,,62
,,,,,,,,,,,63
,,,,,,,,,,,64
,,,,,,,,,,,65
,,,,,,,,,,,66
,,,,,,,,,,,67
,,,,,,,,,,,68
,,,,,,,,,,,69
,,,,,,,,,,,70
,,,,,,,,,,,71
,,,,,,,,,,,72
,,,,,,,,,,,73
,,,,,,,,,,,74
,,,,,,,,,,,75
,,,,,,,,,,,76
,,,,,,,,,,,77
,,,,,,,,,,,78
,,,,,,,,,,,79
,,,,,,,,,,,80
,,,,,,,,,,,81
,,,,,,,,,,,82
,,,,,,,,,,,83
,,,,,,,,,,,84
,,,,,,,,,,,85
,,,,,,,,,,,86
,,,,,,,,,,,87
,,,,,,,,,,,88
,,,,,,,,,,,89
,,,,,,,,,,,90
,,,,,,,,,,,91
,,,,,,,,,,,92
,,,,,,,,,,,93
,,,,,,,,,,,94
,,,,,,,,,,,95
,,,,,,,,,,,96
,,,,,,,,,,,97
,,,,,,,,,,,98
,,,,,,,,,,,99
,,,,,,,,,,,100
,,,,,,,,,,,101
,,,,,,,,,,,102
,,,,,,,,,,,103
,,,,,,,,,,,104
,,,,,,,,,,,105
,,,,,,,,,,,106
,,,,,,,,,,,107
,,,,,,,,,,,108
,,,,,,,,,,,109
,,,,,,,,,,,110
,,,,,,,,,,,111
,,,,,,,,,,,112
,,,,,,,,,,,113
,,,,,,,,,,,114
