SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,longitude,latitude,time,ST_B10,system:index
0.8464575000000001,0.84731,0.7924475,0.7889550000000001,0.7610425000000001,0.230155,0.2575725,-97.40005925948016,48.00008481823625,1.573924997381E12,229.91478746,0
0.6434525,0.6437824999999999,0.6049800000000001,0.60795,0.6069599999999999,0.21051999999999998,0.231145,-97.40005925948016,48.10006730935875,1.573924997381E12,232.84744862,1
0.65723,0.6581925,0.6225525000000001,0.6260175000000001,0.6096825000000001,0.21393,0.23901,-97.40005925948016,48.20004980048125,1.573924997381E12,234.86408042,2
0.56725,0.5686525,0.5433250000000001,0.552235,0.5473950000000001,0.21307750000000003,0.23670000000000002,-97.40005925948016,48.300032291603756,1.573924973503E12,238.64441054,3
0.52765,0.5278149999999999,0.5087025000000001,0.5179150000000001,0.5284475,0.23436250000000003,0.2539425,-97.40005925948016,48.40001478272626,1.573924973503E12,237.23276828000002,4
0.4362675,0.43563500000000005,0.43250000000000005,0.4473225,0.47100000000000003,0.264695,0.27949,-97.40005925948016,48.49999727384876,1.573924973503E12,240.97208216,5
0.114655,0.1250775,0.15818749999999998,0.1988875,0.26992,0.22473749999999998,0.2363425,-97.40005925948016,48.599979764971266,1.573924973503E12,250.59380846,6
0.11036499999999999,0.11209750000000002,0.1554375,0.2010325,0.28400000000000003,0.222675,0.224875,-97.40005925948016,48.69996225609377,1.573924973503E12,249.86235218000002,7
0.017249999999999988,0.052917500000000006,0.11281249999999998,0.1444375,0.20766,0.2202,0.19982250000000001,-97.40005925948016,48.79994474721627,1.573924973503E12,265.46219546,8
0.00190499999999999,0.024620000000000003,0.06477,0.08300249999999998,0.12384,0.14179750000000002,0.12549,-97.40005925948016,48.899927238338776,1.573924973503E12,269.9124575,9
0.17810263270747206,0.19205384932831507,0.20584629075811864,0.21831540886593448,0.2581528859794512,0.21000706117912746,0.16759718612486812,-97.40005925948014,48.99990972946128,1.573924973503E12,274.04400406427055,10
,,,,,,,,,1.573924973503E12,,11
,,,,,,,,,1.573924973503E12,,12
,,,,,,,,,1.573924973503E12,,13
,,,,,,,,,1.573924973503E12,,14
,,,,,,,,,1.573924973503E12,,15
,,,,,,,,,1.573924973503E12,,16
,,,,,,,,,1.57392494962E12,,17
,,,,,,,,,1.57392494962E12,,18
,,,,,,,,,1.57392494962E12,,19
,,,,,,,,,1.576429122677E12,,20
,,,,,,,,,1.576429122677E12,,21
,,,,,,,,,1.576429122677E12,,22
,,,,,,,,,1.576429122677E12,,23
,,,,,,,,,1.576429122677E12,,24
,,,,,,,,,1.576429122677E12,,25
,,,,,,,,,1.576429122677E12,,26
,,,,,,,,,1.576429122677E12,,27
,,,,,,,,,1.576429122677E12,,28
,,,,,,,,,1.576429122677E12,,29
,,,,,,,,,1.576429122677E12,,30
,,,,,,,,,1.576429122677E12,,31
,,,,,,,,,1.576429122677E12,,32
,,,,,,,,,1.576429122677E12,,33
,,,,,,,,,1.576429098786E12,,34
,,,,,,,,,1.576429098786E12,,35
,,,,,,,,,1.576429098786E12,,36
,,,,,,,,,1.576429098786E12,,37
,,,,,,,,,1.576429098786E12,,38
