SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,longitude,latitude,time,ST_B10,system:index
-0.132515,-0.13081,-0.07988,-0.093575,0.02979000000000001,0.01680999999999999,0.009110000000000007,-122.39999395346962,48.00008481823625,1.640286128199E12,274.8514964,0
1.0571350000000002,1.1355650000000002,1.2333825,1.3349675,1.4160925000000002,1.117415,0.8670825,-122.39999395346962,48.10006730935875,1.640286128199E12,270.4935209,1
,,,,,,,,,1.640286128199E12,,2
,,,,,,,,,1.640286104316E12,,3
0.04430999999999999,0.0569325,0.1076975,0.09482750000000001,0.48389750000000004,0.28075500000000003,0.18986750000000002,-122.39999395346962,48.40001478272626,1.640286104316E12,275.88373844,4
0.021237499999999992,0.02739749999999999,0.07871250000000002,0.05137750000000002,0.382395,0.14484999999999998,0.07282749999999999,-122.39999395346962,48.49999727384876,1.640286104316E12,278.6625887,5
0.014389999999999986,0.0172225,0.0324025,0.03133,0.29643,0.11740499999999998,0.055804999999999993,-122.39999395346962,48.599979764971266,1.640286104316E12,276.35200718,6
0.009632499999999988,0.005782499999999996,0.008064999999999989,-9.824999999999973E-4,0.09642250000000002,0.019862500000000005,0.009330000000000005,-122.39999395346962,48.69996225609377,1.640286104316E12,273.25186304,7
0.8254475000000001,0.7972325,0.777625,0.7393175000000001,0.6939425000000001,0.34318,0.2102175,-122.39999395346962,48.79994474721627,1.640286104316E12,263.59253852,8
1.3067525000000002,1.3549325,1.374155,1.4084750000000001,1.3880700000000001,0.6090225,0.47017500000000007,-122.39999395346962,48.899927238338776,1.640286104316E12,257.90153522,9
0.0034724999999999895,0.004462500000000008,0.010787500000000005,0.00946749999999999,0.08407500000000001,0.045685,0.020797499999999997,-122.39999395346962,48.99990972946128,1.640286104316E12,274.70110352,10
,,,,,,,,,1.640286104316E12,,11
,,,,,,,,,1.640286104316E12,,12
,,,,,,,,,1.640286104316E12,,13
,,,,,,,,,1.640286104316E12,,14
,,,,,,,,,1.640286104316E12,,15
,,,,,,,,,1.640286104316E12,,16
,,,,,,,,,1.640286104316E12,,17
,,,,,,,,,1.640286104316E12,,18
,,,,,,,,,1.640286104316E12,,19
,,,,,,,,,,,20
,,,,,,,,,,,21
,,,,,,,,,,,22
,,,,,,,,,,,23
,,,,,,,,,,,24
,,,,,,,,,,,25
,,,,,,,,,,,26
,,,,,,,,,,,27
,,,,,,,,,,,28
,,,,,,,,,,,29
,,,,,,,,,,,30
,,,,,,,,,,,31
,,,,,,,,,,,32
,,,,,,,,,,,33
,,,,,,,,,,,34
,,,,,,,,,,,35
,,,,,,,,,,,36
,,,,,,,,,,,37
,,,,,,,,,,,38
,,,,,,,,,,,39
,,,,,,,,,,,40
,,,,,,,,,,,41
,,,,,,,,,,,42
,,,,,,,,,,,43
,,,,,,,,,,,44
,,,,,,,,,,,45
,,,,,,,,,,,46
,,,,,,,,,,,47
,,,,,,,,,,,48
,,,,,,,,,,,49
,,,,,,,,,,,50
,,,,,,,,,,,51
,,,,,,,,,,,52
,,,,,,,,,,,53
,,,,,,,,,,,54
,,,,,,,,,,,55
,,,,,,,,,,,56
,,,,,,,,,,,57
,,,,,,,,,,,58
,,,,,,,,,,,59
,,,,,,,,,,,60
,,,,,,,,,,,61
,,,,,,,,,,,62
,,,,,,,,,,,63
,,,,,,,,,,,64
,,,,,,,,,,,65
,,,,,,,,,,,66
,,,,,,,,,,,67
,,,,,,,,,,,68
,,,,,,,,,,,69
,,,,,,,,,,,70
,,,,,,,,,,,71
,,,,,,,,,,,72
,,,,,,,,,,,73
,,,,,,,,,,,74
,,,,,,,,,,,75
,,,,,,,,,,,76
,,,,,,,,,,,77
,,,,,,,,,,,78
,,,,,,,,,,,79
,,,,,,,,,,,80
,,,,,,,,,,,81
,,,,,,,,,,,82
,,,,,,,,,,,83
,,,,,,,,,,,84
,,,,,,,,,,,85
,,,,,,,,,,,86
,,,,,,,,,,,87
,,,,,,,,,,,88
,,,,,,,,,,,89
,,,,,,,,,,,90
,,,,,,,,,,,91
,,,,,,,,,,,92
,,,,,,,,,,,93
,,,,,,,,,,,94
,,,,,,,,,,,95
,,,,,,,,,,,96
,,,,,,,,,,,97
,,,,,,,,,,,98
,,,,,,,,,,,99
,,,,,,,,,,,100
,,,,,,,,,,,101
,,,,,,,,,,,102
,,,,,,,,,,,103
,,,,,,,,,,,104
,,,,,,,,,,,105
,,,,,,,,,,,106
,,,,,,,,,,,107
,,,,,,,,,,,108
,,,,,,,,,,,109
,,,,,,,,,,,110
,,,,,,,,,,,111
,,,,,,,,,,,112
,,,,,,,,,,,113
,,,,,,,,,,,114
,,,,,,,,,,,115
,,,,,,,,,,,116
,,,,,,,,,1.639248062876E12,,117
,,,,,,,,,1.639248062876E12,,118
,,,,,,,,,1.639248062876E12,,119
,,,,,,,,,1.639248062876E12,,120
,,,,,,,,,1.639248062876E12,,121
,,,,,,,,,1.639248062876E12,,122
,,,,,,,,,1.639248062876E12,,123
,,,,,,,,,1.639248062876E12,,124
,,,,,,,,,1.639248062876E12,,125
,,,,,,,,,1.639248062876E12,,126
,,,,,,,,,1.639248062876E12,,127
,,,,,,,,,1.639248062876E12,,128
,,,,,,,,,1.639248062876E12,,129
,,,,,,,,,1.639248062876E12,,130
,,,,,,,,,1.639853208505E12,,131
,,,,,,,,,1.639853208505E12,,132
,,,,,,,,,1.639853208505E12,,133
,,,,,,,,,1.639853208505E12,,134
,,,,,,,,,1.639853208505E12,,135
,,,,,,,,,1.639853208505E12,,136
,,,,,,,,,1.639853208505E12,,137
,,,,,,,,,1.639853208505E12,,138
,,,,,,,,,1.639853208505E12,,139
,,,,,,,,,1.639853208505E12,,140
,,,,,,,,,1.639853208505E12,,141
,,,,,,,,,1.639853208505E12,,142
,,,,,,,,,1.639853208505E12,,143
,,,,,,,,,1.639853208505E12,,144
,,,,,,,,,1.639853208505E12,,145
,,,,,,,,,1.639853208505E12,,146
,,,,,,,,,1.639853208505E12,,147
,,,,,,,,,1.639853208505E12,,148
,,,,,,,,,1.639853208505E12,,149
,,,,,,,,,1.63985318461E12,,150
,,,,,,,,,1.63985318461E12,,151
