SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,longitude,latitude,time,ST_B10,system:index
,,,,,,,,,,,0
,,,,,,,,,,,1
,,,,,,,,,,,2
,,,,,,,,,,,3
,,,,,,,,,,,4
,,,,,,,,,,,5
,,,,,,,,,,,6
,,,,,,,,,,,7
,,,,,,,,,,,8
,,,,,,,,,,,9
,,,,,,,,,,,10
,,,,,,,,,,,11
,,,,,,,,,,,12
,,,,,,,,,,,13
,,,,,,,,,,,14
,,,,,,,,,,,15
,,,,,,,,,,,16
,,,,,,,,,,,17
,,,,,,,,,,,18
,,,,,,,,,,,19
,,,,,,,,,1.640968735661E12,,20
,,,,,,,,,1.640968735661E12,,21
,,,,,,,,,1.640968735661E12,,22
,,,,,,,,,1.640968735661E12,,23
,,,,,,,,,1.640968735661E12,,24
,,,,,,,,,1.640191510358E12,,25
,,,,,,,,,1.640191510358E12,,26
,,,,,,,,,1.640191510358E12,,27
,,,,,,,,,1.640191510358E12,,28
,,,,,,,,,1.640191510358E12,,29
,,,,,,,,,1.640191510358E12,,30
,,,,,,,,,1.640191510358E12,,31
,,,,,,,,,1.640191510358E12,,32
,,,,,,,,,1.640191510358E12,,33
,,,,,,,,,1.640191510358E12,,34
,,,,,,,,,1.640191510358E12,,35
,,,,,,,,,1.637426711942E12,,36
0.02593999999999999,0.02907499999999999,0.04574,0.048765,0.19393749999999998,0.22248250000000003,0.1355,-92.70007369296682,29.700055007795417,1.637426711942E12,291.3092627,37
0.030945,0.037132499999999985,0.056052500000000005,0.07271749999999999,0.1842025,0.2131325,0.1304125,-92.70007369296682,29.80003749891792,1.637426711942E12,290.86833812,38
0.020769999999999983,0.02767249999999999,0.04285249999999999,0.04508000000000001,0.006277499999999991,0.0023175,0.0017125000000000057,-92.70007369296682,29.900019990040423,1.640191486459E12,286.47960044,39
0.049315,0.06020500000000001,0.0930125,0.11025499999999999,0.253585,0.25551,0.16041499999999997,-92.70007369296682,30.000002481162923,1.640191486459E12,291.49041776,40
0.040872500000000006,0.049315,0.08649499999999999,0.09028999999999998,0.2827625,0.17262500000000003,0.10637750000000001,-92.70007369296682,30.099984972285426,1.640191486459E12,291.52117994,41
0.030780000000000002,0.03674749999999999,0.0569325,0.061580000000000024,0.1974575,0.2060925,0.13241999999999998,-92.70007369296682,30.19996746340793,1.640191486459E12,292.1808578,42
0.02010999999999999,0.02610499999999999,0.043292499999999984,0.050360000000000016,0.2018025,0.2116475,0.11878,-92.70007369296682,30.299949954530433,1.640191486459E12,290.25651254,43
0.04783000000000001,0.05792249999999999,0.0870725,0.10415000000000002,0.25705,0.2834775,0.19201250000000003,-92.70007369296682,30.399932445652937,1.640191486459E12,290.6940191,44
